,year,type,quantity,capacity
0,1924,solar,0,0
1,1924,wind,0,0
2,1924,gas,1,50
3,1924,coal,0,0
4,1925,solar,0,0
5,1925,wind,0,0
6,1925,gas,2,130
7,1925,coal,0,0
8,1926,solar,0,0
9,1926,wind,0,0
10,1926,gas,2,130
11,1926,coal,0,0
12,1927,solar,0,0
13,1927,wind,0,0
14,1927,gas,2,130
15,1927,coal,1,36
16,1928,solar,0,0
17,1928,wind,0,0
18,1928,gas,2,130
19,1928,coal,1,36
20,1929,solar,0,0
21,1929,wind,0,0
22,1929,gas,2,130
23,1929,coal,1,36
24,1930,solar,0,0
25,1930,wind,0,0
26,1930,gas,3,211
27,1930,coal,1,36
28,1931,solar,0,0
29,1931,wind,0,0
30,1931,gas,5,321
31,1931,coal,1,36
32,1932,solar,0,0
33,1932,wind,0,0
34,1932,gas,5,321
35,1932,coal,1,36
36,1933,solar,0,0
37,1933,wind,0,0
38,1933,gas,5,321
39,1933,coal,1,36
40,1934,solar,0,0
41,1934,wind,0,0
42,1934,gas,5,321
43,1934,coal,1,36
44,1935,solar,0,0
45,1935,wind,0,0
46,1935,gas,5,321
47,1935,coal,2,116
48,1936,solar,0,0
49,1936,wind,0,0
50,1936,gas,6,348
51,1936,coal,2,116
52,1937,solar,0,0
53,1937,wind,0,0
54,1937,gas,6,348
55,1937,coal,2,116
56,1938,solar,0,0
57,1938,wind,0,0
58,1938,gas,6,348
59,1938,coal,2,116
60,1939,solar,0,0
61,1939,wind,0,0
62,1939,gas,6,348
63,1939,coal,3,146
64,1940,solar,0,0
65,1940,wind,0,0
66,1940,gas,6,348
67,1940,coal,7,286
68,1941,solar,0,0
69,1941,wind,0,0
70,1941,gas,6,348
71,1941,coal,10,503
72,1942,solar,0,0
73,1942,wind,0,0
74,1942,gas,8,538
75,1942,coal,18,1123
76,1943,solar,0,0
77,1943,wind,0,0
78,1943,gas,8,538
79,1943,coal,27,1566
80,1944,solar,0,0
81,1944,wind,0,0
82,1944,gas,9,682
83,1944,coal,29,1700
84,1945,solar,0,0
85,1945,wind,0,0
86,1945,gas,9,682
87,1945,coal,31,1797
88,1946,solar,0,0
89,1946,wind,0,0
90,1946,gas,9,682
91,1946,coal,31,1797
92,1947,solar,0,0
93,1947,wind,0,0
94,1947,gas,9,682
95,1947,coal,34,1936
96,1948,solar,0,0
97,1948,wind,0,0
98,1948,gas,10,766
99,1948,coal,44,2563
100,1949,solar,0,0
101,1949,wind,0,0
102,1949,gas,12,904
103,1949,coal,67,4074
104,1950,solar,0,0
105,1950,wind,0,0
106,1950,gas,15,1287
107,1950,coal,91,5925
108,1951,solar,0,0
109,1951,wind,0,0
110,1951,gas,21,2110
111,1951,coal,123,8260
112,1952,solar,0,0
113,1952,wind,0,0
114,1952,gas,26,2551
115,1952,coal,174,12634
116,1953,solar,0,0
117,1953,wind,0,0
118,1953,gas,33,3364
119,1953,coal,227,18169
120,1954,solar,0,0
121,1954,wind,0,0
122,1954,gas,53,5787
123,1954,coal,290,26030
124,1955,solar,0,0
125,1955,wind,0,0
126,1955,gas,58,6369
127,1955,coal,355,34650
128,1956,solar,0,0
129,1956,wind,0,0
130,1956,gas,72,7871
131,1956,coal,380,37722
132,1957,solar,0,0
133,1957,wind,0,0
134,1957,gas,87,9492
135,1957,coal,441,44144
136,1958,solar,0,0
137,1958,wind,0,0
138,1958,gas,118,16238
139,1958,coal,522,54045
140,1959,solar,0,0
141,1959,wind,0,0
142,1959,gas,134,19850
143,1959,coal,607,65193
144,1960,solar,0,0
145,1960,wind,0,0
146,1960,gas,153,22347
147,1960,coal,717,77418
148,1961,solar,0,0
149,1961,wind,0,0
150,1961,gas,177,26217
151,1961,coal,787,87332
152,1962,solar,0,0
153,1962,wind,0,0
154,1962,gas,193,28313
155,1962,coal,872,98499
156,1963,solar,0,0
157,1963,wind,0,0
158,1963,gas,246,36890
159,1963,coal,956,111315
160,1964,solar,0,0
161,1964,wind,0,0
162,1964,gas,279,41233
163,1964,coal,1049,124533
164,1965,solar,0,0
165,1965,wind,0,0
166,1965,gas,314,50277
167,1965,coal,1144,140524
168,1966,solar,0,0
169,1966,wind,0,0
170,1966,gas,357,56658
171,1966,coal,1247,157233
172,1967,solar,0,0
173,1967,wind,0,0
174,1967,gas,398,65012
175,1967,coal,1362,183406
176,1968,solar,0,0
177,1968,wind,0,0
178,1968,gas,432,72468
179,1968,coal,1476,205365
180,1969,solar,0,0
181,1969,wind,0,0
182,1969,gas,475,82021
183,1969,coal,1589,233215
184,1970,solar,0,0
185,1970,wind,0,0
186,1970,gas,527,92731
187,1970,coal,1730,272564
188,1971,solar,0,0
189,1971,wind,0,0
190,1971,gas,583,103379
191,1971,coal,1833,303155
192,1972,solar,0,0
193,1972,wind,0,0
194,1972,gas,659,116127
195,1972,coal,1938,329162
196,1973,solar,0,0
197,1973,wind,0,0
198,1973,gas,747,133408
199,1973,coal,2040,359311
200,1974,solar,0,0
201,1974,wind,0,0
202,1974,gas,829,152557
203,1974,coal,2141,387140
204,1975,solar,0,0
205,1975,wind,0,0
206,1975,gas,936,172393
207,1975,coal,2228,410217
208,1976,solar,0,0
209,1976,wind,0,0
210,1976,gas,1024,192012
211,1976,coal,2311,432629
212,1977,solar,0,0
213,1977,wind,0,0
214,1977,gas,1098,207823
215,1977,coal,2402,456511
216,1978,solar,0,0
217,1978,wind,0,0
218,1978,gas,1173,220321
219,1978,coal,2504,483916
220,1979,solar,0,0
221,1979,wind,0,0
222,1979,gas,1245,237894
223,1979,coal,2598,510607
224,1980,solar,0,0
225,1980,wind,0,0
226,1980,gas,1330,250645
227,1980,coal,2686,539790
228,1981,solar,0,0
229,1981,wind,1,17
230,1981,gas,1407,267040
231,1981,coal,2775,567323
232,1982,solar,0,0
233,1982,wind,2,32
234,1982,gas,1499,281935
235,1982,coal,2881,597472
236,1983,solar,0,0
237,1983,wind,2,32
238,1983,gas,1567,292854
239,1983,coal,2989,627268
240,1984,solar,0,0
241,1984,wind,5,102
242,1984,gas,1610,300450
243,1984,coal,3112,662413
244,1985,solar,0,0
245,1985,wind,17,363
246,1985,gas,1665,312291
247,1985,coal,3251,699705
248,1986,solar,0,0
249,1986,wind,20,441
250,1986,gas,1699,318311
251,1986,coal,3366,727616
252,1987,solar,0,0
253,1987,wind,24,525
254,1987,gas,1768,331461
255,1987,coal,3484,755709
256,1988,solar,0,0
257,1988,wind,26,561
258,1988,gas,1839,342689
259,1988,coal,3592,777653
260,1989,solar,0,0
261,1989,wind,29,682
262,1989,gas,1905,397979
263,1989,coal,3695,801430
264,1990,solar,0,0
265,1990,wind,32,794
266,1990,gas,1972,407126
267,1990,coal,3801,822051
268,1991,solar,0,0
269,1991,wind,33,871
270,1991,gas,2042,419744
271,1991,coal,3903,846708
272,1992,solar,0,0
273,1992,wind,35,921
274,1992,gas,2126,520773
275,1992,coal,4023,870050
276,1993,solar,0,0
277,1993,wind,37,997
278,1993,gas,2209,538264
279,1993,coal,4116,892552
280,1994,solar,0,0
281,1994,wind,44,1223
282,1994,gas,2355,569542
283,1994,coal,4601,999717
284,1995,solar,0,0
285,1995,wind,50,1375
286,1995,gas,2486,591190
287,1995,coal,4711,1022556
288,1996,solar,0,0
289,1996,wind,68,1786
290,1996,gas,2610,620404
291,1996,coal,4827,1052001
292,1997,solar,0,0
293,1997,wind,96,2460
294,1997,gas,2737,650573
295,1997,coal,4922,1075902
296,1998,solar,0,0
297,1998,wind,126,3085
298,1998,gas,2864,678931
299,1998,coal,5036,1101257
300,1999,solar,0,0
301,1999,wind,199,4915
302,1999,gas,3006,754895
303,1999,coal,5151,1127843
304,2000,solar,0,0
305,2000,wind,308,7168
306,2000,gas,3272,810040
307,2000,coal,5240,1158423
308,2001,solar,0,0
309,2001,wind,468,11747
310,2001,gas,3601,877416
311,2001,coal,5311,1178425
312,2002,solar,0,0
313,2002,wind,632,15446
314,2002,gas,4232,1016481
315,2002,coal,5352,1198743
316,2003,solar,0,0
317,2003,wind,836,21372
318,2003,gas,4482,1110749
319,2003,coal,5482,1225997
320,2004,solar,0,0
321,2004,wind,1008,25848
322,2004,gas,4660,1166342
323,2004,coal,5625,1260547
324,2005,solar,0,0
325,2005,wind,1268,34137
326,2005,gas,4878,1224436
327,2005,coal,5826,1310135
328,2006,solar,0,0
329,2006,wind,1604,45108
330,2006,gas,5053,1275225
331,2006,coal,6105,1399549
332,2007,solar,3,69
333,2007,wind,1976,59371
334,2007,gas,5219,1321700
335,2007,coal,6226,1480516
336,2008,solar,16,487
337,2008,wind,2466,79963
338,2008,gas,5398,1379298
339,2008,coal,6348,1541856
340,2009,solar,28,818
341,2009,wind,3109,109406
342,2009,gas,5623,1446553
343,2009,coal,6440,1606764
344,2010,solar,54,1694
345,2010,wind,3639,134309
346,2010,gas,5839,1538022
347,2010,coal,6556,1678376
348,2011,solar,125,4025
349,2011,wind,4377,170279
350,2011,gas,6022,1598448
351,2011,coal,6723,1757961
352,2012,solar,261,8802
353,2012,wind,5233,216957
354,2012,gas,6208,1647014
355,2012,coal,6800,1818392
356,2013,solar,554,19322
357,2013,wind,7071,304584
358,2013,gas,6432,1715213
359,2013,coal,6914,1876362
360,2014,solar,953,34885
361,2014,wind,7961,347117
362,2014,gas,6640,1805995
363,2014,coal,6959,1926253
364,2015,solar,1486,55920
365,2015,wind,8920,399153
366,2015,gas,6815,1862185
367,2015,coal,6995,1995866
368,2016,solar,2841,136445
369,2016,wind,9875,449234
370,2016,gas,6972,1909416
371,2016,coal,7028,2046402
372,2017,solar,3664,173023
373,2017,wind,10711,491542
374,2017,gas,7138,1961098
375,2017,coal,7040,2084799
376,2018,solar,4182,210492
377,2018,wind,11401,532831
378,2018,gas,7328,2039427
379,2018,coal,7012,2102186
380,2019,solar,4699,248781
381,2019,wind,12146,582244
382,2019,gas,7457,2098920
383,2019,coal,7017,2142964
384,2020,solar,5141,287902
385,2020,wind,13069,658174
386,2020,gas,7542,2143505
387,2020,coal,6944,2156574
388,2021,solar,5540,324992
389,2021,wind,13770,735184
390,2021,gas,7647,2176734
391,2021,coal,6950,2179828
